001-008  I.Enfermedades infecciosas y parasitarias;
    Hombres;
        Menos de 1 año;7.0;8.0;
        De 1 a 4 años   ;11.0;6.0;
        De 5 a 9 años;2.0;2.0;
        De 10 a 14 años  ;1.0;3.0;
        De 15 a 19 años  ;5.0;2.0;
        De 20 a 24 años;4.0;3.0;
        De 25 a 29 años;11.0;10.0;
        De 30 a 34 años;27.0;12.0;
        De 35 a 39 años;41.0;35.0;
        De 40 a 44 años;71.0;112.0;
        De 45 a 49 años;143.0;204.0;
        De 50 a 54 años;234.0;254.0;
        De 55 a 59 años;200.0;212.0;
        De 60 a 64 años;163.0;201.0;
        De 65 a 69 años;199.0;266.0;
        De 70 a 74 años  ;273.0;324.0;
        De 75 a 79 años  ;407.0;416.0;
        De 80 a 84 años  ;550.0;620.0;
        De 85 a 89 años  ;570.0;633.0;
        De 90 a 94 años  ;323.0;337.0;
        95 y más años;84.0;88.0;
    Mujeres;
        Menos de 1 año;9.0;9.0;
        De 1 a 4 años   ;5.0;5.0;
        De 5 a 9 años;0.0;3.0;
        De 10 a 14 años  ;3.0;3.0;
        De 15 a 19 años  ;2.0;2.0;
        De 20 a 24 años;2.0;5.0;
        De 25 a 29 años;6.0;6.0;
        De 30 a 34 años;9.0;6.0;
        De 35 a 39 años;17.0;13.0;
        De 40 a 44 años;41.0;38.0;
        De 45 a 49 años;48.0;70.0;
        De 50 a 54 años;64.0;81.0;
        De 55 a 59 años;78.0;72.0;
        De 60 a 64 años;82.0;89.0;
        De 65 a 69 años;129.0;144.0;
        De 70 a 74 años  ;203.0;228.0;
        De 75 a 79 años  ;355.0;404.0;
        De 80 a 84 años  ;709.0;737.0;
        De 85 a 89 años  ;936.0;932.0;
        De 90 a 94 años  ;721.0;711.0;
        95 y más años;288.0;261.0;
001  Enfermedades infecciosas intestinales;
    Hombres;
        Menos de 1 año;2.0;2.0;
        De 1 a 4 años   ;2.0;1.0;
        De 5 a 9 años;1.0;0.0;
        De 10 a 14 años  ;0.0;1.0;
        De 15 a 19 años  ;0.0;0.0;
        De 20 a 24 años;0.0;0.0;
        De 25 a 29 años;2.0;0.0;
        De 30 a 34 años;0.0;0.0;
        De 35 a 39 años;1.0;0.0;
        De 40 a 44 años;0.0;1.0;
        De 45 a 49 años;2.0;3.0;
        De 50 a 54 años;2.0;2.0;
        De 55 a 59 años;5.0;4.0;
        De 60 a 64 años;12.0;7.0;
        De 65 a 69 años;10.0;15.0;
        De 70 a 74 años  ;28.0;23.0;
        De 75 a 79 años  ;40.0;41.0;
        De 80 a 84 años  ;64.0;59.0;
        De 85 a 89 años  ;90.0;102.0;
        De 90 a 94 años  ;56.0;57.0;
        95 y más años;25.0;19.0;
    Mujeres;
        Menos de 1 año;0.0;2.0;
        De 1 a 4 años   ;1.0;1.0;
        De 5 a 9 años;0.0;1.0;
        De 10 a 14 años  ;0.0;0.0;
        De 15 a 19 años  ;0.0;0.0;
        De 20 a 24 años;0.0;0.0;
        De 25 a 29 años;0.0;0.0;
        De 30 a 34 años;0.0;1.0;
